protein1 protein2 experimental database textmining combined_score
511145.b0936 511145.b0887 0 540 0 540
511145.b0936 511145.b4290 0 540 0 540
511145.b0936 511145.b3566 0 540 0 540
511145.b0936 511145.b0153 0 540 0 540
511145.b0936 511145.b3456 0 540 0 540
511145.b0936 511145.b3455 0 540 0 540
511145.b0936 511145.b0654 0 540 0 540
511145.b0936 511145.b1116 0 540 0 540
511145.b0936 511145.b2149 0 540 0 540
511145.b0936 511145.b2417 0 540 0 540
511145.b0936 511145.b0653 0 540 0 540
511145.b0936 511145.b0794 0 540 0 540
511145.b0936 511145.b3271 0 540 0 540
511145.b0936 511145.b4230 0 540 0 540
511145.b0936 511145.b1292 0 540 0 540
511145.b0936 511145.b2422 0 540 0 540
511145.b0936 511145.b2308 0 540 0 540
511145.b0936 511145.b1290 0 540 0 540
511145.b0936 511145.b0696 0 540 0 540
511145.b0936 511145.b3458 0 540 0 540
511145.b0936 511145.b3727 0 540 0 540
511145.b0936 511145.b0860 0 540 0 540
511145.b0936 511145.b3567 0 540 0 540
511145.b0936 511145.b4513 0 540 0 540
511145.b0936 511145.b0914 0 540 0 540
511145.b0936 511145.b2423 0 540 0 540
511145.b0936 511145.b0862 0 540 0 540
511145.b0936 511145.b0128 0 360 0 360
511145.b0936 511145.b0152 0 540 0 540
511145.b0936 511145.b1443 0 540 0 540
511145.b0936 511145.b2548 0 540 0 540
511145.b0936 511145.b0588 0 540 0 540
511145.b0936 511145.b1125 0 540 0 540
511145.b0936 511145.b2128 0 540 0 540
511145.b0936 511145.b1920 0 540 0 540
511145.b0936 511145.b2130 0 540 0 540
511145.b0936 511145.b0067 0 540 0 540
511145.b0937 511145.b0935 526 900 0 950
511145.b0937 511145.b1372 188 0 0 188
511145.b0938 511145.b0717 179 0 0 179
511145.b0938 511145.b0939 179 0 0 179
511145.b0938 511145.b1585 171 0 0 171
511145.b0938 511145.b3143 179 0 0 179
511145.b0938 511145.b0531 179 0 0 179
511145.b0938 511145.b0140 179 0 0 179
511145.b0938 511145.b3047 179 0 0 179
511145.b0938 511145.b2336 179 0 0 179
511145.b0938 511145.b4319 266 0 0 266
511145.b0938 511145.b1503 266 0 0 266
511145.b0938 511145.b4316 179 0 0 179
511145.b0938 511145.b0944 179 0 0 179
511145.b0938 511145.b4320 253 0 0 252
511145.b0938 511145.b2110 179 0 0 179
511145.b0939 511145.b2339 285 0 0 284
511145.b0939 511145.b0530 179 0 0 179
511145.b0939 511145.b4314 179 0 0 179
511145.b0939 511145.b0943 179 0 0 179
511145.b0939 511145.b3043 179 0 0 179
511145.b0939 511145.b2333 269 0 0 269
511145.b0939 511145.b4315 179 0 0 179
511145.b0939 511145.b0534 179 0 0 179
511145.b0939 511145.b2111 179 0 0 179
511145.b0939 511145.b1787 363 0 0 363
511145.b0939 511145.b1504 179 0 0 179
511145.b0939 511145.b0938 179 0 0 179
511145.b0939 511145.b4318 179 0 0 179
511145.b0939 511145.b0719 179 0 0 179
511145.b0939 511145.b3142 179 0 0 179
511145.b0940 511145.b2333 222 0 0 222
511145.b0940 511145.b2339 251 0 0 250
511145.b0940 511145.b4319 257 0 0 256
511145.b0940 511145.b1503 257 0 0 256
511145.b0943 511145.b2110 179 0 0 179
511145.b0943 511145.b4320 253 0 0 252
511145.b0943 511145.b0944 179 0 0 179
511145.b0943 511145.b0140 179 0 0 179
511145.b0943 511145.b2336 179 0 0 179
511145.b0943 511145.b4319 266 0 0 266
511145.b0943 511145.b3047 179 0 0 179
511145.b0943 511145.b1503 266 0 0 266
511145.b0943 511145.b4316 179 0 0 179
511145.b0943 511145.b0531 179 0 0 179
511145.b0943 511145.b0939 179 0 0 179
511145.b0943 511145.b3143 179 0 0 179
511145.b0943 511145.b0717 179 0 0 179
511145.b0944 511145.b4318 179 0 0 179
511145.b0944 511145.b0938 179 0 0 179
511145.b0944 511145.b1504 179 0 0 179
511145.b0944 511145.b2111 179 0 0 179
511145.b0944 511145.b0534 179 0 0 179
511145.b0944 511145.b3142 179 0 0 179
511145.b0944 511145.b0719 179 0 0 179
511145.b0944 511145.b2333 269 0 0 269
511145.b0944 511145.b3043 179 0 0 179
511145.b0944 511145.b0943 179 0 0 179
511145.b0944 511145.b4314 179 0 0 179
511145.b0944 511145.b0530 179 0 0 179
511145.b0944 511145.b2339 285 0 0 284
511145.b0944 511145.b4315 179 0 0 179
511145.b0945 511145.b3844 466 0 139 520
511145.b0945 511145.b3734 570 0 0 570
511145.b0945 511145.b0721 188 0 0 188
511145.b0946 511145.b3357 508 0 0 508
511145.b0946 511145.b0351 508 0 0 508
511145.b0946 511145.b0595 508 0 0 508
511145.b0946 511145.b2910 0 0 473 473
511145.b0946 511145.b4277 508 0 0 508
511145.b0946 511145.b0095 576 0 348 711
511145.b0946 511145.b0864 508 0 0 508
511145.b0946 511145.b2980 508 0 0 508
511145.b0946 511145.b3723 508 0 0 508
511145.b0946 511145.b1785 156 0 0 155
511145.b0946 511145.b0601 508 0 0 508
511145.b0946 511145.b2947 156 0 0 155
511145.b0946 511145.b2714 508 0 0 508
511145.b0946 511145.b0473 254 0 0 254
511145.b0946 511145.b3928 0 0 404 404
511145.b0946 511145.b0464 508 0 0 508
511145.b0946 511145.b0256 508 0 0 508
511145.b0946 511145.b3283 508 0 0 508
511145.b0946 511145.b0102 0 0 404 404
511145.b0947 511145.b3620 246 0 0 245
511145.b0947 511145.b3363 254 0 0 254
511145.b0947 511145.b1606 199 0 95 244
511145.b0947 511145.b2542 283 0 0 282
511145.b0947 511145.b2237 259 57 0 271
511145.b0947 511145.b2530 48 0 205 210
511145.b0947 511145.b2468 247 141 48 330
511145.b0947 511145.b0888 283 0 0 282
511145.b0947 511145.b1093 199 0 95 244
511145.b0947 511145.b2488 269 0 0 269
511145.b0947 511145.b2763 508 0 107 541
511145.b0947 511145.b3081 247 141 124 383
511145.b0947 511145.b2764 507 0 135 555
511145.b0947 511145.b2426 199 0 95 244
511145.b0947 511145.b2285 279 0 0 279
511145.b0947 511145.b2137 199 0 95 244
511145.b0947 511145.b0596 199 0 95 244
511145.b0947 511145.b2277 459 0 0 459
511145.b0947 511145.b1619 199 0 95 244
511145.b0947 511145.b2288 459 0 0 459
511145.b0947 511145.b2720 269 0 0 269
511145.b0947 511145.b2878 247 141 141 395
511145.b0947 511145.b2278 188 0 0 188
511145.b0947 511145.b2282 459 0 0 459
511145.b0947 511145.b2484 188 0 0 188
511145.b0947 511145.b2562 269 0 0 269
511145.b0947 511145.b2276 459 0 51 464
511145.b0947 511145.b2284 281 0 290 467
511145.b0947 511145.b2541 199 0 95 244
511145.b0947 511145.b3621 246 0 0 245
511145.b0947 511145.b2281 269 0 0 269
511145.b0947 511145.b0476 226 0 0 225
511145.b0947 511145.b3527 186 0 0 186
511145.b0947 511145.b4266 199 0 95 244
511145.b0947 511145.b3152 276 0 0 276
511145.b0947 511145.b2286 841 0 290 881
511145.b0947 511145.b1378 269 0 0 269
511145.b0947 511145.b4249 199 0 95 244
511145.b0947 511145.b2146 247 141 48 330
511145.b0947 511145.b2842 199 0 95 244
511145.b0947 511145.b3207 259 57 0 271
511145.b0947 511145.b2887 247 141 48 330
511145.b0947 511145.b4211 276 0 0 276
511145.b0947 511145.b3623 246 0 0 245
511145.b0947 511145.b2902 199 0 95 244
511145.b0947 511145.b3213 247 141 48 330
511145.b0947 511145.b0525 254 0 0 254
511145.b0947 511145.b0869 276 0 0 276
511145.b0947 511145.b0740 156 0 0 155
511145.b0947 511145.b4309 226 0 0 225
511145.b0947 511145.b3003 199 0 95 244
511145.b0947 511145.b2283 281 0 0 281
511145.b0947 511145.b2287 459 0 0 459
511145.b0947 511145.b1271 199 0 95 244
511145.b0947 511145.b1494 186 0 0 186
511145.b0947 511145.b2705 199 0 95 244
511145.b0947 511145.b2774 199 0 95 244
511145.b0947 511145.b1094 276 0 0 276
511145.b0947 511145.b3632 246 0 0 245
511145.b0947 511145.b2280 243 0 0 242
511145.b0947 511145.b2279 243 0 0 242
511145.b0947 511145.b2529 124 0 104 181
511145.b0948 511145.b0880 213 0 0 213
511145.b0948 511145.b0059 158 0 0 157
511145.b0948 511145.b1084 156 0 0 155
511145.b0948 511145.b0528 413 0 0 412
511145.b0948 511145.b3871 457 0 0 457
511145.b0948 511145.b2585 396 0 0 396
511145.b0948 511145.b2960 164 0 0 163
511145.b0948 511145.b1269 399 0 0 398
511145.b0948 511145.b0623 325 0 0 325
511145.b0948 511145.b3162 166 0 0 165
511145.b0948 511145.b2576 448 0 0 448
511145.b0948 511145.b1086 386 0 0 386
511145.b0948 511145.b4179 352 0 0 351
511145.b0948 511145.b2581 369 0 0 369
511145.b0948 511145.b3984 386 0 0 386
511145.b0949 511145.b3302 465 0 0 465
511145.b0949 511145.b3299 455 0 0 455
511145.b0949 511145.b3311 465 0 0 465
511145.b0949 511145.b3317 465 0 0 465
511145.b0949 511145.b3342 465 0 0 465
511145.b0949 511145.b3308 464 0 0 463
511145.b0949 511145.b0169 465 0 48 468
511145.b0949 511145.b3197 152 0 0 151
511145.b0949 511145.b3319 465 0 0 465
511145.b0949 511145.b3985 172 0 0 171
511145.b0949 511145.b0023 465 0 0 465
511145.b0949 511145.b3303 465 0 0 465
511145.b0949 511145.b3307 465 0 0 465
511145.b0949 511145.b0363 182 0 0 181
511145.b0949 511145.b3936 455 0 0 455
511145.b0949 511145.b3168 198 0 0 198
511145.b0949 511145.b3320 465 0 0 465
511145.b0949 511145.b3165 465 0 0 465
511145.b0949 511145.b3305 465 0 66 478
511145.b0949 511145.b3231 465 0 0 465
511145.b0949 511145.b3984 464 0 0 463
511145.b0949 511145.b3703 465 0 0 465
511145.b0949 511145.b3318 465 0 0 465
511145.b0949 511145.b3312 465 0 0 465
511145.b0949 511145.b4202 465 0 0 465
511145.b0949 511145.b4506 455 0 0 455
511145.b0949 511145.b3636 464 0 0 463
511145.b0949 511145.b3301 465 0 0 465
511145.b0949 511145.b3637 465 0 0 465
511145.b0949 511145.b1089 465 0 0 465
511145.b0949 511145.b2185 260 0 0 260
511145.b0949 511145.b3298 465 0 0 465
511145.b0949 511145.b3230 465 0 0 465
511145.b0949 511145.b3321 465 0 0 465
511145.b0949 511145.b1716 465 0 0 465
511145.b0949 511145.b3315 465 0 0 465
511145.b0949 511145.b3306 465 0 0 465
511145.b0949 511145.b3304 465 0 0 465
511145.b0949 511145.b2606 465 0 0 465
511145.b0949 511145.b3340 74 0 133 162
511145.b0949 511145.b3296 465 0 0 465
511145.b0949 511145.b1717 465 0 0 465
511145.b0949 511145.b3310 465 0 0 465
511145.b0949 511145.b2699 161 0 0 161
511145.b0949 511145.b0296 455 0 0 455
511145.b0949 511145.b3309 465 0 0 465
511145.b0949 511145.b3186 465 0 0 465
511145.b0949 511145.b3297 465 0 0 465
511145.b0949 511145.b3313 465 0 0 465
511145.b0949 511145.b3314 465 0 0 465
511145.b0949 511145.b2609 465 0 0 465
511145.b0949 511145.b3341 464 0 0 463
511145.b0949 511145.b3316 465 0 0 465
511145.b0949 511145.b3185 465 0 0 465
511145.b0949 511145.b4203 260 0 0 260
511145.b0949 511145.b4200 465 0 0 465
511145.b0949 511145.b3294 465 0 0 465
511145.b0949 511145.b3983 184 0 0 183
511145.b0951 511145.b2912 182 0 0 181
511145.b0952 511145.b2617 0 0 252 252
511145.b0952 511145.b1391 154 0 0 153
511145.b0952 511145.b1739 0 0 235 235
511145.b0952 511145.b4080 0 0 312 311
511145.b0952 511145.b1806 0 0 211 211
511145.b0952 511145.b1605 0 0 157 156
511145.b0952 511145.b0772 0 0 228 227
511145.b0952 511145.b4411 0 0 282 282
511145.b0952 511145.b2701 0 0 308 307
511145.b0952 511145.b0689 0 0 220 220
511145.b0952 511145.b3506 0 0 192 192
511145.b0952 511145.b2971 0 0 348 347
511145.b0953 511145.b3341 800 0 0 800
511145.b0953 511145.b3306 800 0 0 800
511145.b0953 511145.b3318 800 0 0 800
511145.b0953 511145.b2909 152 0 0 151
511145.b0953 511145.b3319 800 0 0 800
511145.b0953 511145.b3304 800 0 0 800
511145.b0953 511145.b1716 800 0 0 800
511145.b0953 511145.b2609 800 0 0 800
511145.b0953 511145.b3321 800 0 0 800
511145.b0953 511145.b3703 800 0 0 800
511145.b0953 511145.b3308 800 0 0 800
511145.b0953 511145.b3065 800 0 0 800
511145.b0953 511145.b0169 800 0 0 800
511145.b0953 511145.b3315 800 0 0 800
511145.b0953 511145.b3310 800 0 0 800
511145.b0953 511145.b3294 800 0 0 800
511145.b0953 511145.b1717 800 0 0 800
511145.b0953 511145.b4200 800 0 0 800
511145.b0953 511145.b3185 800 0 0 800
511145.b0953 511145.b4203 800 0 0 800
511145.b0953 511145.b3936 800 0 0 800
511145.b0953 511145.b0848 171 0 0 171
511145.b0953 511145.b2606 800 0 0 800
511145.b0953 511145.b3312 800 0 0 800
511145.b0953 511145.b0023 800 0 0 800
511145.b0953 511145.b3316 800 0 0 800
511145.b0953 511145.b3203 935 0 338 955
511145.b0953 511145.b4202 800 0 0 800
511145.b0953 511145.b3296 800 0 0 800
511145.b0953 511145.b3303 800 0 0 800
511145.b0953 511145.b3307 800 0 0 800
511145.b0953 511145.b3302 800 0 0 800
511145.b0953 511145.b3309 800 0 0 800
511145.b0953 511145.b3637 800 0 0 800
511145.b0953 511145.b1089 800 0 0 800
511145.b0953 511145.b3636 800 0 0 800
511145.b0953 511145.b3301 800 0 0 800
511145.b0953 511145.b3320 800 0 0 800
511145.b0953 511145.b0911 800 0 0 800
511145.b0953 511145.b3305 800 0 0 800
511145.b0953 511145.b3231 800 0 0 800
511145.b0953 511145.b3317 800 0 0 800
511145.b0953 511145.b3314 800 0 0 800
511145.b0953 511145.b3342 800 0 0 800
511145.b0953 511145.b3297 800 0 0 800
511145.b0953 511145.b2185 800 0 0 800
511145.b0953 511145.b3299 800 0 0 800
511145.b0953 511145.b3311 800 0 0 800
511145.b0953 511145.b3165 800 0 0 800
511145.b0953 511145.b3186 800 0 0 800
511145.b0953 511145.b3298 800 0 0 800
511145.b0953 511145.b3230 800 0 0 800
511145.b0953 511145.b3313 800 0 0 800
511145.b0954 511145.b3162 305 0 0 305
511145.b0954 511145.b2610 451 0 0 451
511145.b0954 511145.b1094 399 0 0 398
511145.b0954 511145.b0436 457 0 0 457
511145.b0954 511145.b3781 457 0 0 457
511145.b0954 511145.b1092 0 0 321 321
511145.b0954 511145.b1093 900 0 0 900
511145.b0954 511145.b2323 906 0 69 909
511145.b0954 511145.b0180 0 900 63 902
511145.b0954 511145.b1288 0 0 175 175
511145.b0956 511145.b2910 0 0 708 708
511145.b0956 511145.b0924 493 0 0 493
511145.b0956 511145.b2980 508 0 0 508
511145.b0956 511145.b2714 508 0 0 508
511145.b0956 511145.b0923 493 0 0 493
511145.b0956 511145.b2573 508 0 0 508
511145.b0956 511145.b3021 508 0 0 508
511145.b0956 511145.b0922 453 0 0 453
511145.b0956 511145.b2566 508 0 0 508
511145.b0956 511145.b3928 0 0 905 905
511145.b0956 511145.b0779 508 0 0 508
511145.b0956 511145.b1094 453 0 418 668
511145.b0957 511145.b1089 800 0 0 800
511145.b0957 511145.b0178 526 0 591 797
511145.b0957 511145.b3298 800 0 0 800
511145.b0957 511145.b2185 800 0 0 800
511145.b0957 511145.b1042 180 0 0 179
511145.b0957 511145.b0929 0 540 539 779
511145.b0957 511145.b0161 526 0 0 526
511145.b0957 511145.b0014 0 0 367 367
511145.b0957 511145.b0741 526 0 68 539
511145.b0957 511145.b3321 800 0 0 800
511145.b0957 511145.b0645 0 0 213 213
511145.b0957 511145.b1716 800 0 0 800
511145.b0957 511145.b3304 800 0 0 800
511145.b0957 511145.b1978 69 0 155 179
511145.b0957 511145.b3306 800 0 0 800
511145.b0957 511145.b3310 800 0 0 800
511145.b0957 511145.b0875 0 0 151 150
511145.b0957 511145.b1319 0 540 0 540
511145.b0957 511145.b2062 71 540 0 554
511145.b0957 511145.b3186 800 0 0 800
511145.b0957 511145.b3297 800 0 0 800
511145.b0957 511145.b0211 222 0 351 473
511145.b0957 511145.b1041 180 0 0 179
511145.b0957 511145.b1873 318 0 135 384
511145.b0957 511145.b0436 457 0 43 458
511145.b0957 511145.b2609 800 0 0 800
511145.b0957 511145.b3875 0 540 0 540
511145.b0957 511145.b0996 318 0 135 384
511145.b0957 511145.b3316 800 0 0 800
511145.b0957 511145.b0742 0 0 202 202
511145.b0957 511145.b0098 526 0 0 526
511145.b0957 511145.b4200 800 0 0 800
511145.b0957 511145.b4203 800 0 0 800
511145.b0957 511145.b4036 0 540 0 540
511145.b0957 511145.b1762 0 0 213 213
511145.b0957 511145.b3302 800 0 0 800
511145.b0957 511145.b3299 800 0 0 800
511145.b0957 511145.b3311 800 0 0 800
511145.b0957 511145.b3781 457 0 0 457
511145.b0957 511145.b3342 800 0 0 800
511145.b0957 511145.b3317 800 0 0 800
511145.b0957 511145.b0169 800 0 0 800
511145.b0957 511145.b3319 800 0 0 800
511145.b0957 511145.b3303 800 0 0 800
511145.b0957 511145.b3307 808 0 0 808
511145.b0957 511145.b0681 0 540 0 540
511145.b0957 511145.b0023 800 0 0 800
511145.b0957 511145.b0241 0 540 204 618
511145.b0957 511145.b1967 0 540 0 540
511145.b0957 511145.b2592 87 0 252 287
511145.b0957 511145.b3300 526 0 0 526
511145.b0957 511145.b0177 526 0 607 805
511145.b0957 511145.b0983 71 540 0 554
511145.b0957 511145.b3165 800 0 0 800
511145.b0957 511145.b0839 0 0 222 222
511145.b0957 511145.b3703 800 0 0 800
511145.b0957 511145.b3318 800 0 0 800
511145.b0957 511145.b0150 0 0 294 294
511145.b0957 511145.b0737 0 0 157 156
511145.b0957 511145.b3301 800 0 0 800
511145.b0957 511145.b3636 800 0 0 800
511145.b0957 511145.b3637 800 0 0 800
511145.b0957 511145.b3230 800 0 0 800
511145.b0957 511145.b2568 0 0 517 517
511145.b0957 511145.b1252 530 0 0 530
511145.b0957 511145.b2202 318 0 135 384
511145.b0957 511145.b3315 800 0 0 800
511145.b0957 511145.b0117 69 0 155 179
511145.b0957 511145.b3720 0 540 0 540
511145.b0957 511145.b3296 800 0 0 800
511145.b0957 511145.b2606 800 0 0 800
511145.b0957 511145.b1717 800 0 0 800
511145.b0957 511145.b3388 0 0 258 258
511145.b0957 511145.b1615 0 540 0 540
511145.b0957 511145.b3234 691 0 0 691
511145.b0957 511145.b3309 800 0 0 800
511145.b0957 511145.b3313 800 0 0 800
511145.b0957 511145.b0648 0 0 213 213
511145.b0957 511145.b3314 800 0 0 800
511145.b0957 511145.b1451 0 0 294 294
511145.b0957 511145.b0196 526 900 429 970
511145.b0957 511145.b3065 800 0 0 800
511145.b0957 511145.b3341 800 0 0 800
511145.b0957 511145.b3966 0 540 143 588
511145.b0957 511145.b3185 800 0 0 800
511145.b0957 511145.b0740 576 0 791 907
511145.b0957 511145.b3294 800 0 0 800
511145.b0957 511145.b0572 71 540 0 554
511145.b0957 511145.b3006 0 0 157 156
511145.b0957 511145.b4311 0 540 0 540
511145.b0957 511145.b1256 0 0 291 290
511145.b0957 511145.b1669 69 0 155 179
511145.b0957 511145.b0053 0 0 366 366
511145.b0957 511145.b3308 800 0 0 800
511145.b0957 511145.b2215 800 540 490 949
511145.b0957 511145.b2370 76 0 175 205
511145.b0957 511145.b3320 800 0 0 800
511145.b0957 511145.b0411 0 540 184 608
511145.b0957 511145.b0552 0 540 0 540
511145.b0957 511145.b3231 800 0 0 800
511145.b0957 511145.b3305 800 0 0 800
511145.b0957 511145.b1378 461 0 0 461
511145.b0957 511145.b3357 0 0 275 275
511145.b0957 511145.b4202 800 0 0 800
511145.b0957 511145.b0439 0 0 360 360
511145.b0957 511145.b1377 0 540 361 693
511145.b0957 511145.b4066 180 0 0 179
511145.b0957 511145.b3312 800 0 0 800
511145.b0958 511145.b3931 457 0 0 457
511145.b0958 511145.b0439 549 0 0 549
511145.b0958 511145.b0095 786 0 278 838
511145.b0959 511145.b1120 505 0 0 505
511145.b0959 511145.b1207 400 0 0 400
511145.b0962 511145.b3919 371 0 0 371
511145.b0962 511145.b0628 151 0 0 150
511145.b0962 511145.b3806 457 0 0 457
511145.b0964 511145.b1038 0 0 380 380
511145.b0964 511145.b1641 343 0 0 343
511145.b0964 511145.b1772 171 0 0 171
511145.b0964 511145.b2669 171 0 0 171
511145.b0968 511145.b2296 0 900 0 900
511145.b0969 511145.b2530 0 540 0 540
511145.b0969 511145.b0189 188 0 0 188
511145.b0969 511145.b1133 457 900 0 943
511145.b0969 511145.b3344 0 540 220 625
511145.b0969 511145.b2810 0 540 0 540
511145.b0969 511145.b0784 0 540 0 540
511145.b0969 511145.b0785 0 540 0 540
511145.b0969 511145.b0423 0 540 0 540
511145.b0969 511145.b3343 457 540 192 780
511145.b0969 511145.b3345 0 540 0 540
511145.b0969 511145.b3470 0 540 52 545
511145.b0969 511145.b2811 0 540 0 540
511145.b0969 511145.b2529 0 540 0 540
511145.b0969 511145.b1679 0 540 0 540
511145.b0969 511145.b4407 0 540 0 540
511145.b0969 511145.b3992 0 540 0 540
511145.b0970 511145.b0864 185 0 0 185
511145.b0972 511145.b0977 343 0 264 495
511145.b0972 511145.b2995 0 540 0 540
511145.b0972 511145.b2994 465 900 329 960
511145.b0972 511145.b0976 416 0 221 525
511145.b0972 511145.b2996 0 540 0 540
511145.b0972 511145.b3210 168 0 0 167
511145.b0972 511145.b0974 960 900 238 996
511145.b0972 511145.b1687 0 0 157 156
511145.b0972 511145.b2997 0 900 0 900
511145.b0972 511145.b0973 978 900 882 999
511145.b0973 511145.b0306 152 0 0 151
511145.b0973 511145.b2991 381 0 0 381
511145.b0973 511145.b2996 0 540 0 540
511145.b0973 511145.b2994 0 900 0 900
511145.b0973 511145.b2990 457 0 0 457
511145.b0973 511145.b2726 381 0 0 381
511145.b0973 511145.b2995 0 540 0 540
511145.b0973 511145.b0974 960 900 155 996
511145.b0973 511145.b0307 185 0 0 185
511145.b0973 511145.b2997 754 900 329 982
511145.b0973 511145.b0972 978 900 882 999
511145.b0973 511145.b4467 152 0 0 151
511145.b0973 511145.b0975 153 0 0 152
511145.b0973 511145.b2243 152 0 0 151
511145.b0974 511145.b2994 0 540 155 594
511145.b0974 511145.b2996 0 540 0 540
511145.b0974 511145.b0973 960 900 155 996
511145.b0974 511145.b0972 960 900 238 996
511145.b0974 511145.b2997 0 540 154 594
511145.b0974 511145.b2995 0 540 0 540
511145.b0975 511145.b0780 508 0 0 508
511145.b0975 511145.b2971 153 0 0 152
511145.b0975 511145.b4253 508 0 0 508
511145.b0975 511145.b1274 508 0 0 508
511145.b0975 511145.b0026 508 0 0 508
511145.b0975 511145.b3751 508 0 0 508
511145.b0975 511145.b2712 0 0 151 150
511145.b0975 511145.b2411 508 0 0 508
511145.b0975 511145.b0642 508 0 0 508
511145.b0975 511145.b0755 299 0 0 299
511145.b0975 511145.b1109 299 0 0 299
511145.b0975 511145.b0139 508 0 0 508
511145.b0975 511145.b0973 153 0 0 152
511145.b0976 511145.b2061 272 0 0 272
511145.b0976 511145.b3178 161 0 0 161
511145.b0976 511145.b4143 256 0 0 256
511145.b0976 511145.b2465 153 0 0 152
511145.b0976 511145.b1866 172 0 0 171
511145.b0976 511145.b0982 272 0 0 272
511145.b0976 511145.b0911 172 0 0 171
511145.b0976 511145.b3340 261 0 0 261
511145.b0976 511145.b2324 155 0 0 154
511145.b0976 511145.b0972 416 0 221 525
511145.b0976 511145.b2935 153 0 0 152
511145.b0976 511145.b3212 282 0 0 282
511145.b0977 511145.b2711 454 0 104 489
511145.b0977 511145.b3501 188 0 0 188
511145.b0977 511145.b0972 343 0 264 495
511145.b0977 511145.b3365 454 0 104 489
511145.b0978 511145.b0430 0 720 0 720
511145.b0978 511145.b0431 0 720 0 720
511145.b0978 511145.b0979 968 900 133 997
511145.b0978 511145.b4592 900 900 0 989
511145.b0978 511145.b0432 0 720 0 720
511145.b0978 511145.b0733 559 900 0 954
511145.b0978 511145.b0429 0 720 0 720
511145.b0978 511145.b4602 0 720 0 720
511145.b0978 511145.b4515 0 720 0 720
511145.b0978 511145.b0734 462 720 133 857
511145.b0979 511145.b0430 0 720 0 720
511145.b0979 511145.b0429 0 720 0 720
511145.b0979 511145.b0733 462 720 133 857
511145.b0979 511145.b0734 0 900 0 900
511145.b0979 511145.b0432 0 720 0 720
511145.b0979 511145.b4602 0 720 0 720
511145.b0979 511145.b0431 0 720 0 720
511145.b0979 511145.b4592 800 900 0 979
511145.b0979 511145.b0978 968 900 133 997
511145.b0979 511145.b4515 0 720 0 720
511145.b0980 511145.b0844 0 900 0 900
511145.b0980 511145.b1703 0 0 560 560
511145.b0980 511145.b4055 0 900 0 900
511145.b0980 511145.b0025 0 900 0 900
511145.b0980 511145.b3812 0 900 0 900
511145.b0981 511145.b2217 179 0 0 179
511145.b0981 511145.b2726 283 0 0 282
511145.b0981 511145.b2991 283 0 0 282
511145.b0981 511145.b2507 156 0 0 155
511145.b0981 511145.b2208 75 0 136 166
511145.b0981 511145.b2060 0 900 0 900
511145.b0981 511145.b2764 64 0 139 159
511145.b0982 511145.b0927 260 0 0 260
511145.b0982 511145.b1308 222 0 0 222
511145.b0982 511145.b0448 243 0 0 242
511145.b0982 511145.b0914 243 0 0 242
511145.b0982 511145.b2582 277 0 0 277
511145.b0982 511145.b2061 0 900 0 900
511145.b0982 511145.b0708 281 0 0 281
511145.b0982 511145.b0976 272 0 0 272
511145.b0982 511145.b3425 222 0 0 222
511145.b0982 511145.b0659 281 0 0 281
511145.b0982 511145.b1094 281 0 0 281
511145.b0982 511145.b0449 243 0 0 242
511145.b0982 511145.b3530 277 0 0 277
511145.b0982 511145.b3311 260 0 0 260
511145.b0982 511145.b3781 277 0 0 277
511145.b0982 511145.b0212 260 0 0 260
511145.b0982 511145.b0082 281 0 0 281
511145.b0982 511145.b3168 281 0 0 281
511145.b0982 511145.b3611 222 0 0 222
511145.b0982 511145.b2318 281 0 0 281
511145.b0982 511145.b0423 222 0 0 222
511145.b0982 511145.b0492 277 0 0 277
511145.b0982 511145.b2668 222 0 0 222
511145.b0983 511145.b2062 0 900 0 900
511145.b0983 511145.b0572 0 540 0 540
511145.b0983 511145.b0552 0 540 0 540
511145.b0983 511145.b0411 0 540 0 540
511145.b0983 511145.b1615 0 540 0 540
511145.b0983 511145.b0957 71 540 0 554
511145.b0983 511145.b1319 0 540 0 540
511145.b0983 511145.b0929 0 540 0 540
511145.b0983 511145.b4311 0 540 0 540
511145.b0983 511145.b2215 0 540 0 540
511145.b0983 511145.b3875 0 540 0 540
511145.b0983 511145.b3720 0 540 0 540
511145.b0983 511145.b4036 0 540 0 540
511145.b0983 511145.b1967 0 540 0 540
511145.b0983 511145.b0241 0 540 0 540
511145.b0983 511145.b1377 0 540 0 540
511145.b0983 511145.b0681 0 540 0 540
511145.b0983 511145.b3966 0 540 0 540
511145.b0984 511145.b3295 192 0 0 192
511145.b0984 511145.b1701 167 140 0 252
511145.b0984 511145.b2260 167 140 0 252
511145.b0984 511145.b1805 167 140 0 252
511145.b0984 511145.b2184 215 0 0 215
511145.b0984 511145.b3305 205 241 0 370
511145.b0984 511145.b1808 164 0 0 163
511145.b0984 511145.b3987 182 0 0 181
511145.b0984 511145.b3737 174 0 0 173
511145.b0984 511145.b2836 193 140 136 347
511145.b0984 511145.b2217 179 0 0 179
511145.b0984 511145.b0044 0 0 748 748
511145.b0984 511145.b0037 167 140 0 252
511145.b0984 511145.b0520 0 0 743 743
511145.b0984 511145.b3649 269 0 0 269
511145.b0984 511145.b0799 164 0 0 163
511145.b0985 511145.b4554 158 0 0 157
511145.b0987 511145.b0197 173 0 0 173
511145.b0990 511145.b1557 454 0 0 454
511145.b0990 511145.b2349 175 0 0 175
511145.b0990 511145.b3556 451 0 0 451
